id,happiness,survey_type,province,city,county,survey_time,gender,birth,nationality,religion,religion_freq,edu,edu_other,edu_status,edu_yr,income,political,join_party,floor_area,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,property_other,height_cm,weight_jin,health,health_problem,depression,hukou,hukou_loc,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_10,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,work_exper,work_status,work_yr,work_type,work_manage,insur_1,insur_2,insur_3,insur_4,family_income,family_m,family_status,house,car,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,invest_other,son,daughter,minor_child,marital,marital_1st,s_birth,marital_now,s_edu,s_political,s_hukou,s_income,s_work_exper,s_work_status,s_work_type,f_birth,f_edu,f_political,f_work_14,m_birth,m_edu,m_political,m_work_14,status_peer,status_3_before,view,inc_ability,inc_exp,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_11,trust_12,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9
7936,4,1,12,32,55,2015/9/5 15:24,2,1973,1,1,1,10,,4.0,1994.0,100000,4,2005.0,115.0,0,0,0,0,0,0,0,0,1,,160,100,5,5,5,2,2.0,3,4,1,1,5,1,5,2,2,1,2,2,4,1,1,5,4,1,4,4,4,7.0,2.0,6,4,2,2,5,1,1,3.0,21.0,1.0,2.0,1,1,1,1,200000.0,3,2,0,1,0,1,0,0,0,0,0,0,0,,1,0,1.0,3,1998.0,1971.0,1998.0,12.0,1.0,2.0,100000.0,1.0,3.0,1.0,1935,10,4,1,1937,10,1,1,3,3,-8,2,-2.0,1,1,-8,-8,1,3,1,1,1,1,-8,1,1,3,60,70,30,50,60.0,50,20,60,70
4609,2,1,3,6,13,2015/9/25 11:28,1,1992,1,1,1,10,,4.0,2012.0,10000,2,,100.0,0,1,0,0,0,0,0,0,0,,180,130,4,4,4,2,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,5.0,5.0,2,4,3,5,3,7,5,,,,,2,2,1,-1,10000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,,0,0,,1,,,,,,,,,,,1964,6,1,9,1965,6,1,9,2,2,3,2,100000.0,2,4,4,3,4,2,2,2,4,5,1,3,2,3,60,60,60,60,60.0,60,60,60,60
2940,1,1,15,41,72,2015/7/17 9:52,1,1969,1,1,1,4,,4.0,1986.0,10000,1,,105.0,0,1,0,0,0,0,0,0,0,,168,130,5,5,2,2,1.0,3,4,1,4,4,4,1,4,3,2,4,3,3,2,4,4,5,1,3,4,5,4.0,4.0,6,1,1,1,1,1,5,,,,,1,2,2,2,15000.0,3,3,1,1,0,1,0,0,0,0,0,0,0,,1,1,1.0,4,1991.0,1983.0,2004.0,10.0,2.0,2.0,5000.0,1.0,3.0,1.0,-2,3,1,1,-2,3,1,1,2,3,4,3,100000.0,2,2,4,4,4,4,2,4,1,1,1,1,1,3,40,30,10,50,40.0,30,30,40,50
4337,1,2,21,61,97,2015/7/16 12:24,2,1940,1,1,1,4,,4.0,1955.0,0,1,,100.0,0,0,0,1,0,0,0,0,0,,167,125,4,5,3,1,1.0,1,1,4,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,4,3,1,1.0,1.0,1,4,1,4,1,5,4,,,,,1,2,2,2,-2.0,1,1,1,2,0,1,0,0,0,0,0,0,0,,3,1,0.0,7,1960.0,,,,,,,,,,-2,1,1,2,-2,1,1,2,3,2,5,-8,-3.0,5,2,5,5,5,-8,1,5,-8,-8,-8,-8,1,5,50,75,30,60,30.0,40,40,80,80
3659,4,1,18,52,86,2015/7/19 9:15,2,1966,1,1,3,6,,4.0,1989.0,20000,4,1998.0,120.0,0,1,1,0,0,0,0,0,0,,163,110,4,5,4,2,3.0,2,2,2,5,5,1,1,4,4,3,4,3,2,3,2,4,5,1,2,4,2,5.0,2.0,4,2,5,4,5,5,1,8.0,25.0,1.0,3.0,1,1,2,2,80000.0,3,3,1,2,0,1,0,0,0,0,0,0,0,,1,0,0.0,3,1992.0,1965.0,1992.0,13.0,4.0,2.0,50000.0,1.0,3.0,1.0,1932,4,1,1,1935,3,1,15,2,2,3,2,100000.0,4,3,3,2,4,2,2,4,2,2,2,2,1,2,60,60,60,60,60.0,70,30,80,40
1374,5,1,17,48,80,2015/7/30 17:17,2,1956,1,0,1,6,,4.0,1975.0,20000,1,,80.0,0,0,0,1,0,0,0,0,0,,156,140,4,3,3,1,1.0,1,1,1,4,1,1,2,5,2,5,5,3,2,5,3,5,5,5,1,3,1,,,1,4,5,3,6,3,5,,,,,1,1,2,2,-2.0,5,3,2,1,0,1,0,0,0,0,0,0,0,,1,0,0.0,3,1980.0,1959.0,1980.0,4.0,4.0,2.0,20000.0,5.0,,,-2,2,4,1,-2,1,1,2,2,2,3,-8,-2.0,4,4,4,5,5,4,3,4,4,4,5,-8,3,5,70,80,70,-2,-2.0,70,80,-2,-2
1088,4,1,26,76,116,2015/9/29 14:29,2,1966,1,1,1,4,,4.0,-2.0,30000,1,,80.0,0,1,0,0,0,0,0,0,0,,150,103,5,4,4,2,1.0,3,3,1,5,4,3,1,2,2,2,3,3,2,2,2,2,5,2,4,4,4,2.0,2.0,3,4,4,4,4,4,1,3.0,35.0,1.0,3.0,1,1,1,1,60000.0,5,3,1,1,0,1,0,0,0,0,0,0,0,,0,1,0.0,3,1992.0,1966.0,1992.0,11.0,4.0,2.0,30000.0,1.0,3.0,1.0,1932,4,1,1,1936,3,1,1,2,2,3,2,50000.0,4,4,4,4,4,4,3,3,3,3,3,3,2,3,70,70,70,70,70.0,70,70,70,70
322,4,2,29,83,126,2015/7/23 10:18,2,1964,1,-8,1,3,,2.0,,0,1,,80.0,0,0,1,0,0,0,0,0,0,,160,108,4,4,4,1,1.0,1,1,2,4,1,2,1,4,3,5,4,4,4,4,4,5,3,5,4,4,2,3.0,3.0,1,3,5,4,6,4,4,,,,,1,1,2,2,90000.0,3,3,1,2,0,1,0,0,0,0,0,0,0,,1,0,0.0,3,1988.0,1965.0,1988.0,4.0,1.0,1.0,50000.0,1.0,3.0,1.0,-2,3,1,2,-2,1,1,2,2,1,3,3,30000.0,4,3,3,3,5,3,2,3,3,3,1,2,1,4,80,80,70,60,60.0,60,60,60,70
2128,2,1,4,7,22,2015/9/7 14:41,2,1985,1,1,1,7,,4.0,2008.0,0,1,,74.0,0,1,0,0,0,0,0,0,0,,159,90,5,4,2,2,1.0,1,4,2,4,5,5,1,3,3,5,5,3,3,2,5,5,5,1,2,3,1,7.0,5.0,1,1,1,5,5,2,5,,,,,2,2,2,2,30000.0,2,2,1,2,0,1,0,0,0,0,0,0,0,,0,0,,3,2010.0,1984.0,2010.0,12.0,1.0,2.0,30000.0,1.0,2.0,1.0,1957,5,1,1,1959,6,1,12,2,3,2,3,80000.0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,10,0,0,0.0,20,30,50,0
4661,5,2,6,12,28,2015/7/31 17:44,2,1950,1,1,1,3,,2.0,,13200,1,,160.0,0,1,1,0,0,0,0,0,0,,158,125,5,4,4,1,1.0,1,1,1,5,1,1,1,5,5,5,5,4,2,5,3,5,5,5,4,4,1,2.0,2.0,2,3,3,3,3,1,4,,,,,1,1,2,2,26000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,,2,0,0.0,3,1966.0,1948.0,1966.0,3.0,1.0,1.0,11000.0,4.0,,,-2,1,1,16,-2,1,1,2,3,2,3,2,-2.0,5,5,5,5,5,-8,3,-8,4,5,-8,-8,2,5,80,60,-2,70,70.0,80,-2,70,-2
